Name,Rating,ReviewCount,Category,Brand,ImageURL,Description,Price
Adidas Batting Pads,5,420,Cricket,Adidas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRp9TmZ5OzYqV-A5OUTOEPHCXC8h6yZ1vL8wu4GjAwJFkUBiBqGRmnyReov5g&s,"A high-quality batting pads from Adidas, ideal for both professionals and beginners.",47.34
Gray-Nicolls Cricket Helmet,5,264,Cricket,Gray-Nicolls,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwedA7rjSdjT_iZlP7r-GnthI9BA-KQOc96lXPppBJJdVBGVE7xV7BFric_wE&s,"A high-quality cricket helmet from Gray-Nicolls, ideal for both professionals and beginners.",73.07
DSC Batting Pads,5,201,Cricket,DSC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTYftJg35gOZUD68tFkK_F9aEeCGpCFCl6w05VAigulDUt3AJTVBZn7jl1rac&s,"A high-quality batting pads from DSC, ideal for both professionals and beginners.",86.2
Reebok Club C 85 Vintage Sneakers,5,248,Casual Shoes,Reebok,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlHzGzGM5TIC1QlVsishFMXvf9DuQIEnY0Psh-VjobJ2sHd6I70Re7Mlcd6Mk&s,"Official casual shoes by Reebok, built for top performance and durability.",144.23
Italy National Football Team Jersey,5,356,Football,Jersey,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqgLTXUOBvnLM9pUUEk-czSfel_i6fUUphHTk0mJ0fAS9BKhSXkPtGUjVjDg&s,"Official Italy national football team jersey, perfect for fans.",71.83
Newbery Cricket Helmet,4,686,Cricket,Newbery,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9pczWbijf6-MHKkByflUfL5bLAWeoa8K7kK152Q21J7pBQx283vx79F5R8qU&s,"A high-quality cricket helmet from Newbery, ideal for both professionals and beginners.",148.09
Molten H3X5001‑BW Handball,4,534,Handball,Molten,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwKpaYxwHwRxjC5hcdHL9WW9eMGsCAsEbHWpkDBO3LdTWAZm5RrI2bEgg7lg&s,"Official handball by Molten, built for top performance and durability.",97.36
DSC Wicket Keeping Gloves,4,440,Cricket,DSC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT44iHKcZXfiAksjr7WnNQA9po9WLPLSgxz8AEfkA9Ys6BXsX0_7KJAuS_tEQ&s,"A high-quality wicket keeping gloves from DSC, ideal for both professionals and beginners.",154.26
Diadora Brasil Sala Indoor Shoes,4,127,Indoor Soccer Shoes,Diadora,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoXvnzWYG8Go34fgnOiQeAxIOI0q4s4susqxhyCJjw6jqhu1WqjLkFfnCDCw&s,"Official indoor soccer shoes by Diadora, built for top performance and durability.",81.32
Molten BG5000 Premium Basketball,4,798,Basketball,Molten,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8HLGq5gQK19-SMK5bZ31te_vOZoCdcHXczFzNEo77XSHJhGh8V_Go-PPWNw&s,"Official basketball by Molten, built for top performance and durability.",27.53
Reebok Workout Plus Shoes,4,202,Training Shoes,Reebok,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-yhIOOet5B6_jq5C9Y39vZqmoaq-1PH35RGDo8ff2kke0SmAJ127S2WBz1Q&s,"Official training shoes by Reebok, built for top performance and durability.",178.1
New Balance Cricket Bat,4,733,Cricket,New Balance,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRc-X8P_xoTNQQo3Z6kF-cF-0IAPKyYX9dbATwixzylDZ03r2cIX1UAjXkaBQ&s,"A high-quality cricket bat from New Balance, ideal for both professionals and beginners.",41.71
Gunn & Moore Thigh Guard,4,507,Cricket,Gunn & Moore,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9CcOqjQC-qzihpIYTI-IcZ6loXZNHAymjUrNDakfbjRUJWeuJ1p7JC1jApF0&s,"A high-quality thigh guard from Gunn & Moore, ideal for both professionals and beginners.",46.97
Molten IV5F‑N Indoor Volleyball,4,753,Volleyball,Molten,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy-0w9xyAwFCU5WDfIyyPpq2eHXKtbJxH_XtJBQAYgbhQusrJAPbWTC0OhUFQ&s,"Official volleyball by Molten, built for top performance and durability.",14.25
Hunts County Wicket Keeping Gloves,4,504,Cricket,Hunts County,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMzyzy0USMD284PMcQFvdBpM-VIAYIPiegJt06bAKMbN83Cr6LSIFXKt_Ff1U&s,"A high-quality wicket keeping gloves from Hunts County, ideal for both professionals and beginners.",34.9
